canonical_dir,source_dir,variant,case_id,action
ocd_rep50_gemini_ablation,ocd_gmae_rep50_gemini_one_shot,single_shot,048,copied
ocd_rep50_gemini_ablation,ocd_gmae_rep50_gemini_one_shot,single_shot,049,copied
ocd_rep50_gemini_ablation,ocd_gmae_rep50_gemini_one_shot,single_shot,050,copied
ocd_rep50_grok4_ablation,ocd_gmae_rep50_xai_grok4_full_rerun,full,001,copied
ocd_rep50_grok4_ablation,ocd_gmae_rep50_xai_grok4_full_rerun,full,002,copied
ocd_rep50_grok4_ablation,ocd_gmae_rep50_xai_grok4_full_rerun,full,003,copied
ocd_rep50_grok4_ablation,ocd_gmae_rep50_xai_grok4_full_rerun,full,004,copied
ocd_rep50_grok4_ablation,ocd_gmae_rep50_xai_grok4_full_rerun,full,005,copied
ocd_rep50_grok4_ablation,ocd_gmae_rep50_xai_grok4_full_rerun,full,006,copied
ocd_rep50_grok4_ablation,ocd_gmae_rep50_xai_grok4_full_rerun,full,007,copied
ocd_rep50_grok4_ablation,ocd_gmae_rep50_xai_grok4_full_rerun,full,008,copied
ocd_rep50_grok4_ablation,ocd_gmae_rep50_xai_grok4_full_rerun,full,009,copied
ocd_rep50_grok4_ablation,ocd_gmae_rep50_xai_grok4_full_rerun,full,010,copied
ocd_rep50_grok4_ablation,ocd_gmae_rep50_xai_grok4_full_rerun,full,011,copied
ocd_rep50_grok4_ablation,ocd_gmae_rep50_xai_grok4_full_rerun,full,012,copied
ocd_rep50_grok4_ablation,ocd_gmae_rep50_xai_grok4_full_rerun,full,013,copied
ocd_rep50_grok4_ablation,ocd_gmae_rep50_xai_grok4_full_rerun,full,014,copied
ocd_rep50_grok4_ablation,ocd_gmae_rep50_xai_grok4_full_rerun,full,015,copied
ocd_rep50_grok4_ablation,ocd_gmae_rep50_xai_grok4_full_rerun,full,016,copied
ocd_rep50_grok4_ablation,ocd_gmae_rep50_xai_grok4_full_rerun,full,017,copied
ocd_rep50_grok4_ablation,ocd_gmae_rep50_xai_grok4_full_rerun,full,018,copied
ocd_rep50_grok4_ablation,ocd_gmae_rep50_xai_grok4_full_rerun,full,019,copied
ocd_rep50_grok4_ablation,ocd_gmae_rep50_xai_grok4_full_rerun,full,020,copied
ocd_rep50_grok4_ablation,ocd_gmae_rep50_xai_grok4_full_rerun,full,021,copied
ocd_rep50_grok4_ablation,ocd_gmae_rep50_xai_grok4_full_rerun,full,022,copied
ocd_rep50_grok4_ablation,ocd_gmae_rep50_xai_grok4_full_rerun,full,023,copied
ocd_rep50_grok4_ablation,ocd_gmae_rep50_xai_grok4_full_rerun,full,024,copied
ocd_rep50_grok4_ablation,ocd_gmae_rep50_xai_grok4_full_rerun,full,025,copied
ocd_rep50_grok4_ablation,ocd_gmae_rep50_xai_grok4_full_rerun,full,026,copied
ocd_rep50_grok4_ablation,ocd_gmae_rep50_xai_grok4_full_rerun,full,027,copied
ocd_rep50_grok4_ablation,ocd_gmae_rep50_xai_grok4_full_rerun,full,028,copied
ocd_rep50_grok4_ablation,ocd_gmae_rep50_xai_grok4_full_rerun,full,029,copied
ocd_rep50_grok4_ablation,ocd_gmae_rep50_xai_grok4_full_rerun,full,030,copied
ocd_rep50_grok4_ablation,ocd_gmae_rep50_xai_grok4_full_rerun,full,031,copied
ocd_rep50_grok4_ablation,ocd_gmae_rep50_xai_grok4_full_rerun,full,032,copied
